N,d,s
1001,49.04734414224958,11.943116535969017
62,9.933680774769789,3.3229484294778158
1001,51.85743218359938,21.751936174129224
1357,72.13107187589146,17.959634462732808
1001,49.04734414224958,11.943116535969017
62,8.383513185061869,3.045768651078706
1001,51.85743218359938,21.751936174129224
1357,72.13107187589146,17.959634462732808
554,33.00898528373871,10.967538034487118
1001,49.04734414224958,11.943116535969017
62,10.451269011277473,3.324300836854449
187,19.48830195161195,6.112780631005658
845,53.52165708096869,18.99663715785492
713,44.33581798294697,8.635695906120999
533,35.12912509699751,12.836844235227739
319,31.33052216818604,9.779487750838642
989,44.962470336969616,9.815103728291772
1001,51.85743218359938,21.751936174129224
203,17.625329091851192,6.8196608716228715
561,63.35859295027976,25.050522935874255
421,35.90327096365941,12.716726548528573
606,40.34902816532808,13.783900975905242
265,31.516528997756023,6.644426230578795
851,50.985759572400795,14.96035831206393
727,42.497592367971656,13.303933362946331
290,23.90658651157659,7.115835956829247
961,44.35661214068068,20.12587785417617
616,33.540724748192844,10.393256629467212
145,16.497473363745037,5.999447692289933
1357,72.13107187589146,17.959634462732808
